lugar_trabajo,tipo_contrato,salario_mensual_bruto,salario_mensual_neto,trabajo_de,anios_experiencia,anios_empresa_actual,anios_puesto_actual,personal_a_cargo,plataformas,lenguajes_programacion,framework_librerias_herramientas,bases_de_datos,qa_testing,ides,cantidad_personal_organizacion,actividad_principal,edad
,Remoto (empresa de otro país),USD 31/hora,,SysAdmin / DevOps / SRE,10,0,7,0,"Amazon Web Services, Azure, Docker, Linux","Bash/Shell, Python",Ninguno de los anteriores,"Amazon DynamoDB, Microsoft Azure (Tables, CosmosDB, SQL, etc), MongoDB",Ninguna de las anteriores,"Vim, Visual Studio Code",51-100,Producto basado en Software,30
Ciudad Autónoma de Buenos Aires,Full-Time,Pesos arg 79000,63000,HelpDesk,6,6,6,0,"VMWare, Windows Server",PHP,Ninguno de los anteriores,Microsoft SQL Server,Ninguna de las anteriores,"NetBeans, Notepad++, Sublime Text, Visual Studio Code",51-100,Otras industrias,31
GBA,Full-Time,Outlier,52000,Developer,12,12,6,0,"Arduino o similar, Docker, Linux","C, C++, HTML, Java, Javascript, SQL","Bootstrap, Node.js, QT","MongoDB, MySQL, SQLite",Mocha,"Eclipse, Sublime Text, Visual Studio Code",1-10,Producto basado en Software,30
Santa Fe,Full-Time,No lo sé ,100000,Developer,4,2,2,0,Azure,".NET, C#, Dart, SQL, TypeScript",".NET Core, Angular, Bootstrap, Flutter",Microsoft SQL Server,NUnit,"Visual Studio, Visual Studio Code",11-50,Servicios / Consultoría de Software / Digital,28
Córdoba,Freelance,no aplica,,Technical Leader,6,4,1,1,"Amazon Web Services, Docker, Linux, Serverless","CSS, HTML, Javascript, PHP, SQL","Bootstrap, jQuery, Laravel, Node.js, React.js","Amazon DynamoDB, MySQL",Ninguna de las anteriores,"Vim, Visual Studio Code",51-100,Servicios / Consultoría de Software / Digital,32
Córdoba,Full-Time,Lumen Technologies,72000,Networking,10,4,4,0,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,201-500,Otras industrias,35
Santiago del Estero,Remoto (empresa de otro país),DXC,93800,Consultant,15,13,4,0,Azure,".NET, C#, HTML, Javascript",.NET Core,"Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",Selenium,"Visual Studio, Visual Studio Code",10001+,Servicios / Consultoría de Software / Digital,39
,Full-Time,BRUTO,42000,SysAdmin / DevOps / SRE,30,20,12,2,"Arduino o similar, *BSD, Linux, OpenStack, Windows Server","Bash/Shell, HTML, Javascript, PHP, Python, SQL","Hadoop, Node.js, TensorFlow","MariaDB, Microsoft SQL Server, MongoDB, MySQL, SQLite",Ninguna de las anteriores,"Android Studio, Eclipse, IPython / Jupyter, Notepad++, Vi, Visual Studio, Xcode",51-100,Otras industrias,49
,Full-Time,Baufest,2500,Developer,3,1,1,0,"Azure, Firebase",".NET, C#, CSS, HTML, Javascript, SQL, TypeScript",".NET Core, Angular, Bootstrap, jQuery, Node.js, React.js","Microsoft Azure (Tables, CosmosDB, SQL, etc), Microsoft SQL Server",TFS,"Visual Studio, Visual Studio Code",201-500,Servicios / Consultoría de Software / Digital,26
Ciudad Autónoma de Buenos Aires,Part-Time,ARS 42000,32.8,Profesor de mkt digital,1,1,1,0,Heroku,"HTML, Javascript, PHP","Bootstrap, Node.js, React.js, WordPress",MySQL,Visual Studio Coded UI,Visual Studio Code,1-10,Servicios / Consultoría de Software / Digital,23
Ciudad Autónoma de Buenos Aires,Full-Time,ARS 210000,,Recruiter / HR,11,5,2,7,Ninguna de las anteriores,Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Ninguno de los anteriores,501-1000,Servicios / Consultoría de Software / Digital,34
Ciudad Autónoma de Buenos Aires,Full-Time,ARS 150000,125000,Project Leader,15,0,7,9,"Google Cloud Platform/App Engine, Linux, Ninguna de las anteriores",Ninguno de los anteriores,Ninguno de los anteriores,Ninguna de las anteriores,Ninguna de las anteriores,Eclipse,201-500,Servicios / Consultoría de Software / Digital,40
Córdoba,Full-Time,99937.39,74718.38,Developer,2,2,1,0,Ninguna de las anteriores,"Go, Java",Spring,"MySQL, Teradata","Cucumber, JUnit, Postman","IntelliJ, Sublime Text",10001+,Producto basado en Software,30
Salta,Full-Time,98831.88,81936,Developer,2,2,2,0,Azure,".NET, CSS, HTML, Javascript, SQL",".NET Core, Bootstrap, jQuery, React.js",Microsoft SQL Server,Ninguna de las anteriores,"Notepad++, Visual Studio",101-200,Servicios / Consultoría de Software / Digital,27
